id,impresiones,clicks
MEKzDwc4kJs,5495,53.851
ketTB6ex6-k,4048,46.1472
ZG5fQ9olvws,19450,647.685
iTDVv7B5o6I,25153,933.1763
tt-eZsNkAro,50775,2528.595
qI8gVSJjM3o,9876,405.9036
6iKQ2Sp4j_U,20841,785.7057
L_fuafpo-Fs,60158,2995.8684
4M0gHjzDkg0,18257,719.3258
36j8NFLstbs,5035,109.763
BJ_QNPDXThg,121354,8798.165
XFvzr7uVXsg,46774,2652.0858
DANBlRbQgO8,21084,801.192
s15Dv7cwJno,54440,3048.64
ekkJenGOBn0,32744,998.692
JscHd15MxIg,22372,519.0304
HUg4K_hUY_U,39225,2086.77
JwJM_GSL6E8,29900,1258.79
QTIvrkBBTYc,22172,880.2284
lAK3E2ekT5I,65362,3026.2606
XEHvUmjaD6A,28447,1214.6869
RnobRdm2ze4,748,24.0108
jeABEsDUFCI,20790,696.465
L20htVdId-M,316,12.9876
sZOrlYm7tIQ,22124,980.0932
tcRYeJLh-SY,17947,538.41
xj00FDsO9m8,23409,1008.9279
5IFMUXPx13Q,38462,1611.5578
iYMPfyOR4oY,36836,2007.562
FBiNvi741tg,17950,572.605
xo3HkW3WDnQ,163980,11281.824
C_3J-pSjkQU,1986954,133920.6996
YvWr9EzMhBc,2671,59.0291
xEHE7ambM5c,2513,32.9203
ZuInEgs16R0,31651,1281.8655
Zy3-eia_IGU,1909,24.0534
FznNYHr_eok,30054,1475.6514
dCnjXSDuQMs,58898,2950.7898
bpNDRHMOrN0,31649,1171.013
Z6GDQUXHbh8,1592,18.9448
AGLHwWrB0GY,884902,55394.8652
vdxw7u65x8g,271938,21428.7144
XKRaIXNvi_M,2948,74.8792
WQoKZFf1dJk,2687,51.053
-_cxrcwuqG4,2510,45.933
7JhbacOW0LA,18881,560.7657
g5CKghK7FEs,3590,100.879
o2TcvlWieJQ,29848,1241.6768
wwPtb0FXKfE,3553,67.1517
Zwf8svpX__E,1658317,119896.3191
17GVbGF7q0E,5716,177.7676
50PLjIgIZXM,28007,1095.0737
BkmsHHK8wjY,3624,39.864
j8mojpg80BM,197403,10462.359
q4SmmuDys8k,7224,330.8592
wINYefsSWN4,738423,50286.6063
eZJc6foTiCg,6070,245.228
-iyXqYAi420,34255,1469.5395
5jKakrwB6Eo,5419,76.9498
A2T4s7YHi1o,514105,29869.5005
GuWwZhMkZjE,5252,154.934
jo8pxtUlOZ8,364686,20422.416
ozaH-JwqJOc,7572,274.8636
YIUSv5Zk_Qc,34700,1762.76
gq3p7Pk1UNE,208181,10263.3233
sb8S0egihLs,4265,66.1075
1u7_fQMOlyU,795988,49351.256
d6Pc88dnp1g,6062,95.1734
vyOC2b19f0g,56093,3326.3149
30SC1mmhpgA,7446,206.9988
gyKEKcLdObo,47907,2931.9084
OZieOUAw_lQ,96819,6438.4635
N4Ds9shRQq4,26825,1070.3175
crww8EFzv4A,364927,21530.693
TKY4ZcEYvuc,10092,576.2532
70GItSqEzpM,141499,8022.9933
ec2WanRQGVQ,5096,142.1784
oZOZfJxWrac,21357,1014.4575
aeSg0KAJFG4,4472,29.9624
_kvBe6rUqg8,3040836,217419.774
olqywq3opSU,24778,832.5408
3Avc8GfSyQ0,4907,41.2188
bijU6Jq1RCs,20651,728.9803
dtDEMosSGFY,6583,184.9823
UIz669ZInUM,29607,1427.0574
BQt_wdMfwD8,4951,69.8091
WkWG8BQr2ZM,16436,741.2636
gaG-WEhMbcQ,5584,68.1248
x_Jdlszq46U,17226,497.8314
a9nw9Zi8_nM,127910,7776.928
h-uiHw3s-Ok,6822,154.8594
uP1pDGDZ3So,34410,1782.438
Id6lIzlnvIM,16693,669.3893
1Urqox-xhjE,18854,1070.9072
66TbjpN30VU,14109,616.5633
KMxD258Ndxc,10955,315.504
EKhoZ1chD2Y,23082,1345.6806
M0wNbpjbx4A,12429,536.9328
tTPXsvtINQQ,1359861,96278.1588
PqhrL990NAg,10051,308.5657
QsB6ETfrA-I,10262,291.4408
SF6xrMTDvAA,30333,1804.8135
Nx2nXEaS9Fw,15749,562.2393
o6F5hf-AJ6M,39869,2396.1269
Tx6iReWmIbw,139476,12664.4208
5sok7UEJaCw,16986,966.5034
h4xz0icdD1U,11804,430.846
bM911Oa12ew,15075,809.5275
7XLEMT2LMak,24206,1863.862
K5sgWUnAXTQ,12952,672.2088
cUNKYmo93KY,18616,1157.9152
C2OPrA0bovs,12132,594.468
cYyPr-K-XJA,12926,641.1296
9Ya2GPAKVUI,5288,163.928
tpey_sou-x4,19730,1353.478
T5wsLCRHZKk,13039,585.4511
zxPb6LF2bHs,6552,252.9072
ORoV7ge20pE,15824,1012.736
8jhuRHSpIBY,9802,545.9714
dRt_p0DrheM,10770,394.182
LKOi5QgRkjI,12866,617.568
KFHjXjoIbOs,40275,3955.005
dpVlFNoxHR0,3742,113.0084
nGc8XE8yUMw,10584,480.5136
RdWnMbsZhxk,15142,701.0746
Ficr8RnregM,10432,350.5152
drY8b3zVKyg,12444,622.2
8j0wkcTifI0,2883,98.8869
Nt14hJVptrU,12941,679.4025
B8i4WpcsOLY,13242,655.479
5Y9FdlUtti8,13303,738.3165
Cho3KW32EsU,9452,375.2444
EE6vasXUXbA,2678,80.0722
zyy5WZMDxIY,9693,316.9611
CJWvwexlIWU,7486,297.9428
yQ8VWUgGc98,674999,43537.4355
xsDmhFxN61Y,7343,342.1838
6umF3at_KZ0,8277,485.8599
pvWu_B-GPcM,6821,390.1612
